全国地方公共団体コード,ID,都道府県,市区町村名,名称,名称_カナ,設置目的,実施支援の主な区分,住所,方書,緯度,経度,電話番号1,電話番号1_連絡先備考,電話番号2,電話番号2_連絡先備考,内線番号,FAX番号,URL,メールアドレス1,メールアドレス1_連絡先備考,メールアドレス2,メールアドレス2_連絡先備考,法人番号,運営団体名,開催頻度,開催曜日,開催日,開催開始時間,開催終了時間,開催日時特記事項,参加条件,参加費_幼児,参加費_小学生,参加費_中学生,参加費_高校生,参加費_大人,参加費特記事項,予約方法,予約特記事項,定員,フードパントリー実施,テイクアウト実施,学区,ネットワークの加入,追加情報NO,画像,画像_ライセンス,備考
131199,,東京都,板橋区,ゆとりんぼ,ユトリンボ,,,板橋区徳丸1-7-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,あったかごはんの会,アッタカゴハンノカイ,,,板橋区成増1-12-4,まなぽーと成増,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,子ども食堂　たんぽぽ,コドモショクドウタンポポ,,,板橋区成増4-14-18,ケアタウン成増,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPO流子ども食堂　板橋三園,ソンポリュウコドモショクドウイタバシミソノ,,,板橋区三園2-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,SOMPO流子ども食堂　板橋仲宿,ソンポリュウコドモショクドウイタバシナカジュク,,,板橋区仲宿50ｰ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,みんなの食堂　フラワー,ミンナノショクドウフラワー,,,"板橋区大山東町25ｰ12 ",遊座大山商店街事務所2階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,親子ひろば,オヤコヒロバ,,,板橋区大谷口上町1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,にっこりキッチン！,ニッコリキッチン,,,板橋区富士見町17ｰ15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,りんごのたね,リンゴノタネ,,,板橋区富士見町3-1,板橋フレンドセンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,こども食堂　よかや,コドモショクドウヨカヤ,,,"板橋区板橋1-31-8 ",蕎麦居酒屋よかや,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,ノンナの家,ノンナノイエ,,,板橋区板橋4-53-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,大山こども食堂・みんなの広場,オオヤマコドモショクドウ・ミンナノヒロバ,,,板橋区大山金井町48-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,ハッピー大山子ども食堂,ハッピーオオヤマコドモショクドウ,,,板橋区大山町40-5,かめやキッチン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,子ども食堂 鶏のから騒ぎ,コドモショクドウトリノカラサワギ,,,板橋区弥生町31-15,瀬戸ビル１F　焼鳥酒場　鶏のから騒ぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131199,,東京都,板橋区,地域のみなぱ食堂,チイキノミナパショクドウ,,,板橋区弥生町58-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
